"ZDM","UPDOWN","ZDXH","JINGDU","WEIDU","XLH","BUSLINE_ID","LINETYPE_ID","CITY_ID"
"千山","0","0","123.14978","41.04305","8支","8635","9","1"
"庙尔台","0","1","123.14683","41.04934","8支","8635","9","1"
"温泉","0","2","122.91954","41.01616","8支","8635","9","1"
"鞍钢千疗","0","3","123.14153","41.06274","8支","8635","9","1"
"千山职业中专","0","4","123.14015","41.06632","8支","8635","9","1"
"倪家台","0","5","123.13654","41.07454","8支","8635","9","1"
"七岭子","0","6","123.12283","41.09303","8支","8635","9","1"
"水泥道口","0","7","123.10612","41.10251","8支","8635","9","1"
"十八中","0","8","123.09967","41.1057","8支","8635","9","1"
"鞍钢副业总厂","0","9","123.09581","41.10754","8支","8635","9","1"
"康福有限公司","0","10","123.09328","41.10771","8支","8635","9","1"
"省警校","0","11","123.08158","41.10971","8支","8635","9","1"
"九星花园","0","12","123.05231","41.1236","8支","8635","9","1"
"辽宁科技大学","0","13","123.06766","41.11125","8支","8635","9","1"
"绿色智慧城","0","14","123.0611","41.1115","8支","8635","9","1"
"环保培训中心","0","15","123.05637","41.10943","8支","8635","9","1"
"玉佛山隧道西","0","16","123.04508","41.10783","8支","8635","9","1"
"工人疗养院(鞍山市中级法院)","0","17","123.03092","41.11202","8支","8635","9","1"
"玉佛苑","0","18","123.02093","41.11284","8支","8635","9","1"
"烟草公司","0","19","123.01397","41.11946","8支","8635","9","1"
"人民公园","0","20","123.0061","41.12233","8支","8635","9","1"
"胜利广场","0","21","123.00323","41.11744","8支","8635","9","1"
"站前(虹桥北)","0","22","122.98891","41.12113","8支","8635","9","1"
"站前(虹桥北)","1","0","122.98891","41.12113","8支","8635","9","1"
"胜利广场","1","1","123.0032","41.11744","8支","8635","9","1"
"人民公园","1","2","123.00613","41.12233","8支","8635","9","1"
"烟草公司","1","3","123.014","41.11946","8支","8635","9","1"
"玉佛苑","1","4","123.02096","41.11284","8支","8635","9","1"
"工人疗养院(鞍山市中级法院)","1","5","123.03092","41.11202","8支","8635","9","1"
"玉佛山隧道西","1","6","123.04511","41.10783","8支","8635","9","1"
"环保培训中心","1","7","123.05637","41.10943","8支","8635","9","1"
"绿色智慧城","1","8","123.06113","41.1115","8支","8635","9","1"
"辽宁科技大学","1","9","123.06769","41.11125","8支","8635","9","1"
"九星花园","1","10","123.05234","41.1236","8支","8635","9","1"
"省警校","1","11","123.08158","41.10971","8支","8635","9","1"
"康福有限公司","1","12","123.09331","41.10771","8支","8635","9","1"
"鞍钢副业总厂","1","13","123.09584","41.10754","8支","8635","9","1"
"十八中","1","14","123.0997","41.1057","8支","8635","9","1"
"水泥道口","1","15","123.10615","41.10251","8支","8635","9","1"
"七岭子","1","16","123.1228","41.09303","8支","8635","9","1"
"倪家台","1","17","123.13657","41.07454","8支","8635","9","1"
"千山职业中专","1","18","123.14018","41.06632","8支","8635","9","1"
"鞍钢千疗","1","19","123.14156","41.06274","8支","8635","9","1"
"温泉","1","20","122.91954","41.01616","8支","8635","9","1"
"庙尔台","1","21","123.14686","41.04934","8支","8635","9","1"
"千山","1","22","123.14981","41.04305","8支","8635","9","1"
"","1","23","0","0","8支","8635","9","1"
"","1","24","0","0","8支","8635","9","1"
"","1","25","0","0","8支","8635","9","1"
"","1","26","0","0","8支","8635","9","1"
"","1","27","0","0","8支","8635","9","1"
"","1","28","0","0","8支","8635","9","1"
"","1","29","0","0","8支","8635","9","1"
"千山","0","0","123.14978","41.04305","8路大线","8636","9","1"
"庙尔台小学","0","1","0","0","8路大线","8636","9","1"
"庙尔台","0","2","123.14683","41.04934","8路大线","8636","9","1"
"温泉","0","3","122.91954","41.01616","8路大线","8636","9","1"
"鞍钢千疗","0","4","123.14153","41.06274","8路大线","8636","9","1"
"千山温泉滑雪场","0","5","0","0","8路大线","8636","9","1"
"倪家台","0","6","123.13654","41.07454","8路大线","8636","9","1"
"松瑞烧伤病医院","0","7","0","0","8路大线","8636","9","1"
"山印新村","0","8","0","0","8路大线","8636","9","1"
"七岭子","0","9","123.1228","41.09303","8路大线","8636","9","1"
"水泥道口","0","10","123.10612","41.10251","8路大线","8636","9","1"
"十八中学","0","11","0","0","8路大线","8636","9","1"
"鞍钢副业总厂","0","12","123.09581","41.10754","8路大线","8636","9","1"
"鞍钢乳业","0","13","0","0","8路大线","8636","9","1"
"七号桥","0","14","123.09232","41.10919","8路大线","8636","9","1"
"第一中学","0","15","122.99857","41.11372","8路大线","8636","9","1"
"东阳街","0","16","0","0","8路大线","8636","9","1"
"越岭路","0","17","0","0","8路大线","8636","9","1"
"恒大名都","0","18","0","0","8路大线","8636","9","1"
"运通叁号第","0","19","0","0","8路大线","8636","9","1"
"颐和城","0","20","0","0","8路大线","8636","9","1"
"苗圃","0","21","123.06933","41.14946","8路大线","8636","9","1"
"太平小区","0","22","123.0812","41.15807","8路大线","8636","9","1"
"太平村","0","23","123.08004","41.15719","8路大线","8636","9","1"
"工业街","0","24","123.05302","41.15091","8路大线","8636","9","1"
"励工街","0","25","123.04211","41.15778","8路大线","8636","9","1"
"孟泰公园","0","26","123.03826","41.15234","8路大线","8636","9","1"
"立山","0","27","123.03555","41.15279","8路大线","8636","9","1"
"劳动路","0","28","123.02511","41.15483","8路大线","8636","9","1"
"立山桥洞","0","29","123.02013","41.15288","8路大线","8636","9","1"
"双山路","0","30","123.02236","41.14399","8路大线","8636","9","1"
"小东门","0","31","123.0125","41.14324","8路大线","8636","9","1"
"北方晨报","0","32","0","0","8路大线","8636","9","1"
"和平桥","0","33","123.00364","41.13598","8路大线","8636","9","1"
"五一路","0","34","122.99769","41.12399","8路大线","8636","9","1"
"虹桥北","0","35","122.99322","41.11976","8路大线","8636","9","1"
"虹桥北","1","0","122.99322","41.11976","8路大线","8636","9","1"
"五一路","1","1","122.99772","41.12399","8路大线","8636","9","1"
"和平桥","1","2","123.00367","41.13598","8路大线","8636","9","1"
"北方晨报","1","3","0","0","8路大线","8636","9","1"
"小东门","1","4","123.01253","41.14324","8路大线","8636","9","1"
"双山路","1","5","123.02236","41.14399","8路大线","8636","9","1"
"立山桥洞","1","6","123.02016","41.15288","8路大线","8636","9","1"
"劳动路","1","7","123.02511","41.15483","8路大线","8636","9","1"
"立山","1","8","123.03558","41.15279","8路大线","8636","9","1"
"孟泰公园","1","9","123.03826","41.15234","8路大线","8636","9","1"
"励工街","1","10","123.04211","41.15778","8路大线","8636","9","1"
"工业街","1","11","123.05302","41.15091","8路大线","8636","9","1"
"太平村","1","12","123.08007","41.15719","8路大线","8636","9","1"
"苗圃","1","13","123.06936","41.14946","8路大线","8636","9","1"
"颐和城","1","14","0","0","8路大线","8636","9","1"
"运通叁号第","1","15","0","0","8路大线","8636","9","1"
